video_id,title,duration,status,file
MoPQhkAnWnk,Stop Trading With Your Feelings. Build a Bot That Does It For You (Beginner Tutorial),649,ok,transcripts/MoPQhkAnWnk.txt
rmavKdrnIVE,Prop Firm Trading Bots (that actually work),881,ok,transcripts/rmavKdrnIVE.txt
xFpZ6iwu4ZM,The $135 million Trading Bot (Full Tutorial Anyone Can Follow),610,ok,transcripts/xFpZ6iwu4ZM.txt
RLsoE1CXyNI,this predicts stock price (and its free),527,ok,transcripts/RLsoE1CXyNI.txt
_dmMs9r-l68,From ZERO To LIVE Trading Bot that WINS when Trader LOSE,790,ok,transcripts/_dmMs9r-l68.txt
y2srsivt3Z8,CNBC Says AI Can Trade for You. I Ran the experiment & have the results.,911,ok,transcripts/y2srsivt3Z8.txt
XtxSCkMQPRU,I Let Claude Build a 5 Minute Polymarket Bot (i give it to you),727,ok,transcripts/XtxSCkMQPRU.txt
8GRQ__XhreM,Claude Built The Only COPY TRADER that has a chance at working,580,ok,transcripts/8GRQ__XhreM.txt
NaUe7uCrvMQ,OpenAI Voice Mode For Trading,2014,ok,transcripts/NaUe7uCrvMQ.txt
MFoNA7VJjuQ,I Gave Claude ONE Rule and It Built 5 Polymarket 5 Minute Bots,682,ok,transcripts/MFoNA7VJjuQ.txt
FeqEdkzwIJo,"AI Trading Battle (TOP 6 AI Labs, All Open Source)",454,ok,transcripts/FeqEdkzwIJo.txt
V7265Jn46-A,This AI Found a Glitch in Polymarket's 5 Minute Bitcoin Markets (Full Code),322,ok,transcripts/V7265Jn46-A.txt
gmRKWSZAsT8,Opus 5 Released and CRUSHES 5 Minute Polymarkets,469,ok,transcripts/gmRKWSZAsT8.txt
GigZG5cfFKI,I Let an AI Bet on Polymarket 5 Minute Markets (Kimi K3 ),857,ok,transcripts/GigZG5cfFKI.txt
zrUQ-oE5ND4,Fable 5 Made Me a 5 Min Polymarket Trading Bot (full bot & results),336,ok,transcripts/zrUQ-oE5ND4.txt
CRs1frUtqtE,I Made Fable 5 and Kimi K3 Trade Against Each Other… One Got Destroyed,992,ok,transcripts/CRs1frUtqtE.txt
Hi74vKbVgSM,Fable 5's Biggest Threat is Kimi K3 (Traders Are Cooked),2264,ok,transcripts/Hi74vKbVgSM.txt
y6-tuXrBfnU,Kimi K3 vs Fable 5 for Automated Polymarket Trading (5 min bot & github),2373,ok,transcripts/y6-tuXrBfnU.txt
F9k2_d1gNqY,Fable 5 for Polymarket 5 Minute Bots May Be It,1296,ok,transcripts/F9k2_d1gNqY.txt
OFEPTIoGn94,Fable 5's Last 3 Days: AI Agents Cooked Up My Best Trading Strategy Yet,873,ok,transcripts/OFEPTIoGn94.txt
MNhcEIEiGK4,"Robinhood Sniper AI That Catches 10,000% Gains",416,ok,transcripts/MNhcEIEiGK4.txt
67950P2Cl1E,"GPT 5.6 vs Fable 5 Trading Battle (Winner hit 5,022% ROI)",1103,ok,transcripts/67950P2Cl1E.txt
F27WqdrFUOw,I Built a Free Bot to Catch Robinhood Memes BEFORE They EXPLODE,398,ok,transcripts/F27WqdrFUOw.txt
ot8XPfgi8co,you wont be able to learn this anywhere else. join the 4th of july sale: https://moondev.com/4th,77,ok,transcripts/ot8XPfgi8co.txt
Aplv1mOhe-U,I Swore Off Robinhood After GME. Now Robinhood Chain Did $100 Million,472,ok,transcripts/Aplv1mOhe-U.txt
EJrpnTloxCw,"trading by hand doesnt compound, but trading bots do. learn for the 4th: https://moondev.com/4th",101,ok,transcripts/EJrpnTloxCw.txt
om9KP9otH9M,ive got 10 fable 5 agents building bots for me all day. i'll show you how: https://moondev.com/4th,77,ok,transcripts/om9KP9otH9M.txt
9g73XZcbMg0,is it solana time again? i hope you approach it with trading bots this year: https://moondev.com/4th,70,ok,transcripts/9g73XZcbMg0.txt
1jyRLWTb5FM,Saylor Is Getting Liquidated in Slow Motion (Fable Built the Model to Prove It),4306,ok,transcripts/1jyRLWTb5FM.txt
lA9oPyrSCKM,"i teach you how to automate your trading, and i also give you my 2 githubs: https://moondev.com/4th",94,ok,transcripts/lA9oPyrSCKM.txt
ktn_CfMNsC4,"instead of trying to predict the next coin on axiom, build bots instead: https://moondev.com/4th",89,ok,transcripts/ktn_CfMNsC4.txt
iW2Y4tMGjec,"Fable 5 Tested Over 1,215 Trading Strategies (Here's What Works)",766,ok,transcripts/iW2Y4tMGjec.txt
mRHzwlsU_s0,Fable 5 is BACK Trading Better Than Ever,6243,ok,transcripts/mRHzwlsU_s0.txt
GFovnGHrUGc,I Built a Bot to Catch Pump Fun Funding Ansem… Here's What It Found,2557,ok,transcripts/GFovnGHrUGc.txt
QRmk5YMIsFQ,"I Stole 3 Bots From Banned FABLE 5 Before They Killed It (+3,101%)",3461,ok,transcripts/QRmk5YMIsFQ.txt
6e5VG9KaX1I,"US Gov BANNED Fable 5 From Trading Because It Hit 1,411%",1732,ok,transcripts/6e5VG9KaX1I.txt
tZpCEaEcVgM,This Polymarket Trading Bot has never lost (thanks claude code),768,ok,transcripts/tZpCEaEcVgM.txt
0l7knsnChNw,Fable 5 + Polymarket 5 Minute Bots = Money Printer?,822,ok,transcripts/0l7knsnChNw.txt
A3jCJWKGJ_4,"Fable 5 Just Changed Trading Bots Forever (This Isn't an Update, It's a  Takeover)",818,ok,transcripts/A3jCJWKGJ_4.txt
iXBXUGAngbU,Polymarket Bot That Steals 5% Every 5 Minutes w/ Claude (FULL CODE),903,ok,transcripts/iXBXUGAngbU.txt
JaA__oWgjwo,36 Polymarket Agents Trading is Unfair.,1277,ok,transcripts/JaA__oWgjwo.txt
GtY19Ft3dm0,Polymarket's BIggest Cheat Code,666,ok,transcripts/GtY19Ft3dm0.txt
v21_H4K5FoI,Polymarket AI Agent That Stalks PROFITABLE whales,1586,ok,transcripts/v21_H4K5FoI.txt
